peak_id,peak_name,host_contries,height_m,height_ft,location,region,climb_status,is_open,is_unlisted,is_trekking,trek_year,first_asc_yr,first_asc_season,first_asc_date,countries,first_summiters,Lat,Long
KIMS,Kimshung,Nepal only,6781,22247,Langtang,Langtang-Jugal,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unknown,28.1612,85.33
KIRA,Kirat Chuli,Nepal & India,7362,24154,Jongsang,Kangchenjunga-Janak,Climbed,1,0,0,0,1939,Summer,May 29,"Switzerland, Germany","Ernst Grob, Herbert Paidar, Ludwig Schmaderer",27.4648,88.1124
KJRN,Kanjiroba North,Nepal only,6858,22500,Kanjiroba,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,29.2212,82.3824
KJRS,Kanjiroba South,Nepal only,6883,22582,Kanjiroba,Far West-Kanjiroba,Climbed,1,0,0,0,1970,Autumn,Nov 07,Japan,"Hiroshi Okuda, Ichiryo Sato, Munehiro Sawada",29.2212,82.3824
KNAG,Kang Nagchugo,Nepal & China,6737,22103,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2008,Autumn,Oct 17,USA,"Joseph Puryear, David Gottlieb",27.54,86.2624
KTEG,Kangtega,Nepal only,6783,22254,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1963,Spring,Jun 05,"New Zealand, USA","David Dornan, Tom Frost, Michael Gill, Jim Wilson",27.4724,86.4836
KYAS,Kyashar,Nepal only,6770,22211,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2003,Autumn,Oct 18,"UK, Austria, Swiss","Bruce Normand, Sam Broderick, Andreas Frank",27.45,86.4912
LAMJ,Lamjung Himal,Nepal only,6983,22910,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1974,Spring,Apr 25,UK,"Derrick Chamberlain, Phillip Neame",28.2848,84.1124
LAMP,Lampo,Nepal & China,6648,21811,Ganesh/Shringi,Manaslu-Ganesh,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unclimbed,28.2924,85.09
LANG,Langtang Lirung,Nepal only,7227,23711,Langtang,Langtang-Jugal,Climbed,1,0,0,0,1978,Autumn,Oct 24,"Japan, Nepal","Seishi Wada, Pemba Tsering Sherpa",28.15,85.3036
LANR,Langtang Ri,Nepal & China,7205,23638,Langtang,Langtang-Jugal,Climbed,1,0,0,0,1981,Autumn,Oct 10,"Japan, Nepal","Soichi Nasu, Makihiro Wakao, Noboru Yamada, Ang Rinji Sherpa",28.2248,85.4048
LAS2,Lashar II,Nepal & China,6803,22320,Janak/Ohmi Kangri,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.5248,88.0336
LASH,Lashar I,Nepal & China,6842,22448,Janak/Ohmi Kangri,Kangchenjunga-Janak,Climbed,1,0,0,0,2005,Autumn,Oct 12,Slovenia,"Andrej Stremfelj, Miha Habjan",27.5324,88.03
LCHA,Lachama Chuli,Nepal & China,6721,22051,Nalakankar/Chandi/Changla,Far West-Kanjiroba,Climbed,1,0,0,0,2007,Autumn,Sep 14,Japan,"Atsushi Senda, Ryouta Fujii, Keizou Ishikawa, Hiroshi Kobayashi, Kouhei Kotani, Naoki Shimozato, Yuhki Tani",30.0748,82.1124
LEOE,Leonpo Gang East,Nepal & China,6733,22090,Jugal,Langtang-Jugal,Climbed,1,0,0,0,1955,Spring,May 11,"UK, Nepal","Monica Jackson, Elizabeth Stark, Mingma Gyalgen Sherpa, Ang Temba Sherpa",28.1124,85.48
LEON,Leonpo Gang,Nepal & China,6979,22897,Jugal,Langtang-Jugal,Climbed,1,0,0,0,1962,Spring,May 03,Japan,"Tadashi Morita, Kazunari Yasuhisa",28.1124,85.48
LHOM,Lhotse Middle,Nepal & China,8410,27592,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2001,Spring,May 23,Russia,"Sergei Timofeev, Alexei Bolotov, Piotr Kouznetsov, Evgeni Vinogradski",27.5636,86.5548
LHOT,Lhotse,Nepal & China,8516,27940,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1956,Spring,May 18,Switzerland,"Fritz Luchsinger, Ernst Reiss",27.5736,86.5548
LIK1,Linkhu Chuli Shar,Nepal only,6719,22044,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2013,Autumn,Nov 13,Germany,Ines Papert,27.48,86.3224
LIK2,Linkhu Chuli Nup,Nepal only,6659,21847,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1960,Autumn,Oct 21,"France, Nepal","Alain Barbezat, Cecile Barbezat, Nawang Dorje Sherpa",27.48,86.3112
LING,Lingtren,Nepal & China,6713,22024,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1935,Summer,Aug,UK,"Eric Shipton, Dan Bryant",28.0112,86.51
LNGK,Langchung Khang,Nepal & China,6786,22264,Jongsang,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?,28.51,88.1048
LNPO,Langpo,Nepal & India,6965,22851,Jongsang,Kangchenjunga-Janak,Climbed,1,0,0,0,1909,Autumn,Sep 14,UK,A. M. Kellas,27.51,88.1124
LSHR,Lhotse Shar,Nepal & China,8382,27500,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1970,Spring,May 12,Austria,"Josef Mayerl, Rolf Walter",27.57,86.5624
LUGU,Lugula,Nepal & China,6899,22635,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2010,Autumn,Nov 02,France,Renald Guillaune,28.5248,84.1348
LUN2,Lunag II,Nepal only,6812,22349,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,0,1,0,0,2010,Autumn,Oct 26,France,"Mathieu Detrie, Max Belleville, Mathiew Maynadier, Sebastien Ratel",28.03,86.33
LUNR,Lunag Ri,Nepal & China,6895,22621,Rolwaling,Khumbu-Rolwaling-Makalu,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unknown,28.03,86.3336
MACH,Machhapuchhare,Nepal only,6993,22943,Annapurna,Annapurna-Damodar-Peri,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unclimbed,28.2924,83.5624
MAK2,Makalu II,Nepal & China,7678,25190,Makalu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1954,Autumn,Oct 22,"UK, Nepal","Jean Franco, Lionel Terray, Gyaltsen Norbu Sherpa, Pa Norbu Sherpa",27.5436,87.0448
MAKA,Makalu,Nepal & China,8485,27838,Makalu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1955,Spring,May 15,France,"Jean Couzy, Lionel Terray",27.5248,87.0448
MANA,Manaslu,Nepal only,8163,26781,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1956,Spring,May 09,"Japan, Nepal","Toshio Imanishi, Gyaltsen Norbu Sherpa",28.3224,84.3336
MANN,Manaslu North,Nepal only,6994,22946,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1964,Autumn,Oct 25,"Netherlands, Austria, Nepal","Alfons Driessen, Jan De Lint, Hubert Schriebl, Ila Tshering Sherpa, Nima Tenzing Sherpa",28.3712,84.3336
NAG1,Nangpai Gosum I,Nepal & China,7321,24019,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2017,Autumn,Oct 03,Germany,Jost Kobusch,28.0412,86.3748
NAG2,Nangpai Gosum II,Nepal & China,7287,23907,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,28.33,84.5624
NAMP,Nampa,Nepal only,6729,22077,Api/Byas Risi/Guras,Far West-Kanjiroba,Climbed,1,0,0,0,1972,Spring,May 05,Japan,"Fukutoshi Kimura, Susumu Takahashi",30.0,81.0
NEMJ,Nemjung,Nepal only,7140,23425,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1983,Spring,Oct 27,"Japan, Nepal","Makito Minami, Wataru Saito, Ken Takahashi, Kirki Lama",28.4536,84.2512
NEPA,Nepal Peak,Nepal & India,7177,23547,Jongsang,Kangchenjunga-Janak,Climbed,1,0,0,0,1930,Spring,May 24,Austria,Erwin Schneider,27.4612,88.1012
NGAP,Nepal Gap Peak,Nepal & India,7007,22989,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?,27.4612,88.1012
NGO2,Ngojumba Kang II,Nepal & China,7743,25404,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1965,Spring,Apr 24,"Japan, Nepal","Naomi Uemura, Pemba Tenzing Sherpa",28.06,86.42
NGO3,Ngojumba Kang III,Nepal & China,7681,25200,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,28.06,86.4236
NGOJ,Ngojumba Kang I,Nepal & China,7916,25971,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1982,Autumn,Nov 02,"S Korea, Nepal","Kim Young-Han, Ang Tshering Sherpa, Dorje Sherpa",28.06,86.4048
NILC,Nilgiri Central,Nepal only,6940,22769,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1979,Spring,Apr 30,Japan,"Kohichi Sakata, Yasuo Tsuda",28.4012,83.4348
NILN,Nilgiri North,Nepal only,7061,23166,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1962,Autumn,Oct 19,"Netherlands, France, Nepal","Lionel Terray, H. G. Van Lookern Campagne, P. Van Lookern Campagne, P. F. J. Van Lookern Campagne, Wangdi Sherpa",28.4048,83.4424
NILS,Nilgiri South,Nepal only,6839,22438,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1978,Autumn,Oct 10,Japan,"Kazuo Mitsui, Taichi Fujimatsu, Yoshiaki Kato, Nobuhito Morota, Seiji Tanaka, Hideki Yoshida",28.39,83.4348
NUMB,Numbur,Nepal only,6958,22828,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1963,Spring,May 29,"Japan, Nepal","Hiroshi Matsuo, Mingma Tsering Sherpa",27.45,86.3412
NUPE,Nuptse East I,Nepal only,7795,25574,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2003,Autumn,Nov 02,Russia,"Valeri Babanov, Yuri Kochelenko",27.5736,86.5324
NUPT,Nuptse,Nepal only,7864,25801,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1961,Spring,May 16,"UK, Nepal","Dennis Davis, Tashi Sherpa",27.5736,86.5248
OHMI,Ohmi Kangri,Nepal & China,6839,22438,Janak/Ohmi Kangri,Kangchenjunga-Janak,Climbed,1,0,0,0,1985,Spring,Apr 14,Switzerland,"Andre Rieder, Alain Vaucher",27.5324,87.5736
PANB,Panbari,Nepal only,6905,22654,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2006,Autumn,Sep 29,Japan,"Yoshimi Kato, Gakuto Komiya, Sayaka Koyama, Kenro Nakajima, Yosuke Urabe",28.42,84.3224
PAND,Pandra,Nepal only,6670,21883,Janak/Ohmi Kangri,Kangchenjunga-Janak,Climbed,1,0,0,0,2002,Autumn,Oct 16,Denmark,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",27.5212,87.5924
PANT,Panalotapa,Nepal only,6687,21939,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1955,Spring,May,UK,"Peter Boultbee, Dennis Davis",27.48,86.3412
PASA,Pasang Lhamu Chuli,Nepal & China,7350,24114,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1986,Autumn,Oct 12,Japan,"Katsushi Emura, Yukitoshi Endo, Katsuo Matsuki, Yoshihiro Shikoda",28.0448,86.36
PEMK,Pemthang Karpo Ri,Nepal & China,6865,22523,Jugal,Langtang-Jugal,Climbed,1,0,0,0,1955,Spring,May 14,"Switzerland, Nepal","Raymond Lambert, Ang Norbu Sherpa, Kami Tshering Sherpa, Pasang Sherpa, Pemba Gyaltzen Sherpa",28.1348,85.4424
PETH,Pethangtse,Nepal & China,6739,22110,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1954,Spring,May 26,"New Zealand, Nepal","Michael Ball, Norman Hardie, Brian Wilkins, Urkien Sherpa",27.57,87.0036
PHOL,Phole,Nepal only,6645,21801,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.4048,88.0036
PHUG,Phu Kang Go,Nepal & China,6767,22201,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2011,Autumn,Oct 27,"France, Belgium","Paulo Grobel, Benoit Van Lerberghe",28.4348,84.2924
PHUK,Phu Kang,Nepal & China,6694,21962,Peri,Annapurna-Damodar-Peri,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,28.4724,84.2624
PK04,Peak 4,Nepal only,6736,22100,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,29.54,81.27
PK29,Peak 29,Nepal only,7871,25823,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1979,Spring,May 08,Poland,"Ryszard Gajewski, Maciej Pawlikowski",28.3,84.3336
PK41,Peak 41,Nepal only,6648,21811,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,2002,2002,Autumn,Oct 16,Slovenia,"Matic Jost, Urban Golob, Uros Samec",27.4612,86.5436
PLNG,Palung,China only,7012,23005,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,1,0,0,1952,Spring,May 13,New Zealand,"Edmund Hillary, George Lowe",28.0712,86.3824
PUMO,Pumori,Nepal & China,7138,23419,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1962,Spring,May 17,"W Germany, Switzerland","Gerhard Lenser, Ernst Farrer, Ueli Huerlemann, Hans Ruetzel",28.0036,86.4912
PUTH,Putha Hiunchuli,Nepal only,7246,23773,Dhaulagiri,Dhaulagiri-Mukut,Climbed,1,0,0,0,1954,Autumn,Nov 11,"UK, Nepal","J. O. M. Roberts, Ang Nyima Sherpa",28.4424,83.0824
PYRM,Pyramid Peak,Nepal & India,7140,23425,Jongsang,Kangchenjunga-Janak,Climbed,1,0,0,0,1993,Spring,Apr 24,"Japan, India","Yoshio Ogata, Jot Singh Bhandari, Hiroshi Iwazaki, Phurba Lepcha, Sunder Singh Martolia, Lobsang Sherpa, Nobuhiro Shingo",27.4912,88.1012
RAMC,Ramtang Chang,Nepal only,6802,22316,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1974,Autumn,Oct 05,Yugoslavia,"Janez Gradisar, Bojan Pollak, Michael Smolej",27.4536,88.0448
RANI,Rani Peak,Nepal only,6693,21959,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,0,1,0,0,1970,Spring,May 05,"Netherlands, Nepal","Herman Tollenaar, Ang Phurba Sherpa, Mingma Tsering Sherpa, Nima Dorje Sherpa",28.2736,84.4124
RATC,Ratna Chuli,Nepal & China,7035,23081,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1996,Autumn,Oct 14,"Japan, Nepal","Osamu Tanabe, Santa Bahadur Ale, Katsuhiko Sawada, Durge Bahadur Tamang, Tul Bahadur Tamang",28.5136,84.2136
RATH,Rathong,Nepal & India,6682,21923,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1964,Autumn,Oct 29,India,"H. P. S. Ahluwalia, Ang Kami Sherpa, Dorje Latoo Sherpa, Nawang Gombu Sherpa",27.3524,88.0524
RIPI,Ripimo Shar,Nepal & China,6647,21808,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1952,Spring,May 29,UK,"Tom Bourdillon, Ray Colledge",27.5812,86.3112
ROCN,Roc Noir,Nepal only,7485,24557,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1969,Spring,May 09,W Germany,"Reinhold Obster, Pit Schubert, Karl Winkler",28.3636,83.5212
SAIE,Saipal East Humla,Nepal only,6925,22720,Saipal,Far West-Kanjiroba,Climbed,1,0,0,0,1990,Autumn,Oct 26,"Switzerland, Nepal","Jacques Montaz, Tendi Sherpa",29.5324,81.3
SAIP,Saipal,Nepal only,7030,23064,Saipal,Far West-Kanjiroba,Climbed,1,0,0,0,1963,Autumn,Oct 21,"Japan, Nepal","Katsuotoshi Hirabayashi, Pasang Phutar Sherpa (I)",29.5248,81.2924
SHA2,Shartse II,Nepal & China,7457,24465,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1974,Spring,May 23,"Austria, W Germany","Kurt Diemburger, Hermann Warth",27.57,86.5736
SHAL,Shalbachum,Nepal & China,6707,22005,Langtang,Langtang-Jugal,Climbed,1,0,0,0,1959,Autumn,Oct 25,"Japan, Nepal","Sadao Hojo, Tetsuro Terahata, Dawa Thondup Sherpa, Pasang Temba Sherpa",28.1648,85.3824
SHAR,Shartse,Nepal & China,7591,24905,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.5636,86.5848
SOBI,Sobithongie,Nepal only,6652,21824,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.4048,88.0112
SPHN,Sphinx,Nepal & India,6825,22392,Jongsang,Kangchenjunga-Janak,Climbed,1,0,0,0,1936,Spring,Jun,UK,"J. K. Cooke, Frederick S. Chapman, John B. Harrison",27.4912,88.1124
TENR,Tengi Ragi Tau,Nepal only,6938,22762,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2002,Winter,Dec 04,"Japan, Nepal","Koichi Ezaki, Ruchia Takahashi, Pasang Tamang, Tul Bahadur Tamang",27.51,86.33
THRK,Tharke Kang,Nepal & China,6710,22014,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2017,Autumn,Nov 03,"USA, Nepal","Garrett Madison, Kristin Bennett, Lisa Thompson, Ang Phurba Sherpa, Lhakpa Dendi Sherpa, Pasang Dawa Sherpa, Tashi Sherpa",28.36,38.5324
THUL,Thulagi,Nepal only,7059,23159,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,2015,Autumn,Sep 26,Russia,"Alexander Gukov, Ivan Dozhdev, Ruslan Kirichenko, Valeri Shamalo",28.33,84.3036
TILI,Tilicho,Nepal only,7134,23406,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1978,Autumn,Oct 10,France,Emmanuel Schmutz,28.4048,83.4836
TKRG,Takargo,Nepal only,6771,22215,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2010,Spring,Mar 12,USA,"David Gottlieb, Joseph Puryear",27.5212,86.3036
TLNG,Talung,Nepal & India,7349,24111,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1964,Spring,May 19,"W Germany, Nepal","Franz Lindner, Tenzing Nanda Sherpa",27.39,88.0748
TUKU,Tukuche,Nepal only,6920,22703,Dhaulagiri,Dhaulagiri-Mukut,Climbed,1,0,0,0,1970,Spring,Apr 30,Japan,"Hirosuke Kikuchi, Eiho Otani, Takao Yonemoto",28.4424,83.3336
TUTS,Tutse,Nepal only,6758,22172,Makalu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?,27.4612,87.06
YALU,Yalung Kang,Nepal only,8505,27904,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1973,Spring,May 14,Japan,"Yutaka Ageta, Takao Matsuda",27.42,88.0824
YALW,Yalung Kang West,Nepal only,8077,26499,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.42,88.0824
YNGS,Yangra Kangri South,Nepal & China,6863,22516,Ganesh/Shringi,Manaslu-Ganesh,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?,28.2324,85.0712
